ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
3,METRO,CA,California,Yuba City MSA,"61,303","23,862",39%,$16.50,$19.00,"$1,207","$1,195","$1,197","$1,522","$2,133","$2,556","$98,900","$29,670","$49,450","$54,950",$742,"$1,236","$1,374",$858,$988,$362,"$47,800","$47,880","$60,880","$85,320","$102,240",$22.98,$23.02,$29.27,$41.02,$49.15,56,56,71,99,119,1.4,1.4,1.8,2.5,3.0,48,48,62,86,104
4,COUNTY,CA,California,Alameda County,"593,117","272,405",46%,$16.50,$32.28,"$1,207","$1,937","$2,201","$2,682","$3,432","$4,077","$159,800","$47,940","$79,900","$90,653","$1,199","$1,998","$2,266",$858,"$1,678",$362,"$77,480","$88,040","$107,280","$137,280","$163,080",$37.25,$42.33,$51.58,$66.00,$78.40,90,103,125,160,190,2.3,2.6,3.1,4.0,4.8,46,52,64,82,97
4,COUNTY,CA,California,Alpine County †,473,90,19%,$16.50,,"$1,207","$1,003","$1,101","$1,445","$2,025","$2,396","$129,500","$38,850","$64,750",,$971,"$1,619",,$858,,$362,"$40,120","$44,040","$57,800","$81,000","$95,840",$19.29,$21.17,$27.79,$38.94,$46.08,47,51,67,94,112,1.2,1.3,1.7,2.4,2.8,,,,,
4,COUNTY,CA,California,Amador County,"16,066","3,203",20%,$16.50,$18.62,"$1,207","$1,253","$1,260","$1,493","$2,084","$2,507","$109,900","$32,970","$54,950","$61,774",$824,"$1,374","$1,544",$858,$968,$362,"$50,120","$50,400","$59,720","$83,360","$100,280",$24.10,$24.23,$28.71,$40.08,$48.21,58,59,70,97,117,1.5,1.5,1.7,2.4,2.9,52,52,62,86,104
4,COUNTY,CA,California,Butte County,"82,345","34,358",42%,$16.50,$16.75,"$1,207","$1,069","$1,126","$1,466","$2,054","$2,462","$90,700","$27,210","$45,350","$45,091",$680,"$1,134","$1,127",$858,$871,$362,"$42,760","$45,040","$58,640","$82,160","$98,480",$20.56,$21.65,$28.19,$39.50,$47.35,50,52,68,96,115,1.2,1.3,1.7,2.4,2.9,49,52,67,94,113
4,COUNTY,CA,California,Calaveras County,"17,897","2,798",16%,$16.50,$18.39,"$1,207",$989,"$1,086","$1,425","$1,997","$2,195","$101,500","$30,450","$50,750","$65,941",$761,"$1,269","$1,649",$858,$956,$362,"$39,560","$43,440","$57,000","$79,880","$87,800",$19.02,$20.88,$27.40,$38.40,$42.21,46,51,66,93,102,1.2,1.3,1.7,2.3,2.6,41,45,60,84,92
4,COUNTY,CA,California,Colusa County,"7,466","2,820",38%,$16.50,$20.15,"$1,207",$915,$921,"$1,208","$1,625","$1,631","$96,400","$28,920","$48,200","$55,323",$723,"$1,205","$1,383",$858,"$1,048",$362,"$36,600","$36,840","$48,320","$65,000","$65,240",$17.60,$17.71,$23.23,$31.25,$31.37,43,43,56,76,76,1.1,1.1,1.4,1.9,1.9,35,35,46,62,62
4,COUNTY,CA,California,Contra Costa County,"411,662","133,153",32%,$16.50,$26.84,"$1,207","$1,937","$2,201","$2,682","$3,432","$4,077","$159,800","$47,940","$79,900","$84,363","$1,199","$1,998","$2,109",$858,"$1,396",$362,"$77,480","$88,040","$107,280","$137,280","$163,080",$37.25,$42.33,$51.58,$66.00,$78.40,90,103,125,160,190,2.3,2.6,3.1,4.0,4.8,56,63,77,98,117
4,COUNTY,CA,California,Del Norte County,"9,621","2,770",29%,$16.50,$15.04,"$1,207",$869,"$1,086","$1,253","$1,756","$2,104","$91,000","$27,300","$45,500","$45,485",$683,"$1,138","$1,137",$858,$782,$362,"$34,760","$43,440","$50,120","$70,240","$84,160",$16.71,$20.88,$24.10,$33.77,$40.46,41,51,58,82,98,1.0,1.3,1.5,2.0,2.5,44,56,64,90,108
4,COUNTY,CA,California,El Dorado County,"75,719","17,881",24%,$16.50,$17.86,"$1,207","$1,679","$1,777","$2,206","$2,992","$3,455","$120,800","$36,240","$60,400","$63,867",$906,"$1,510","$1,597",$858,$929,$362,"$67,160","$71,080","$88,240","$119,680","$138,200",$32.29,$34.17,$42.42,$57.54,$66.44,78,83,103,139,161,2.0,2.1,2.6,3.5,4.0,72,77,95,129,149
4,COUNTY,CA,California,Fresno County,"322,163","143,630",45%,$16.50,$17.44,"$1,207","$1,210","$1,217","$1,505","$2,109","$2,415","$88,500","$26,550","$44,250","$49,094",$664,"$1,106","$1,227",$858,$907,$362,"$48,400","$48,680","$60,200","$84,360","$96,600",$23.27,$23.40,$28.94,$40.56,$46.44,56,57,70,98,113,1.4,1.4,1.8,2.5,2.8,53,54,66,93,107
4,COUNTY,CA,California,Glenn County,"9,763","3,606",37%,$16.50,$16.52,"$1,207",$841,$935,"$1,227","$1,631","$2,060","$87,700","$26,310","$43,850","$48,724",$658,"$1,096","$1,218",$858,$859,$362,"$33,640","$37,400","$49,080","$65,240","$82,400",$16.17,$17.98,$23.60,$31.37,$39.62,39,44,57,76,96,1.0,1.1,1.4,1.9,2.4,39,44,57,76,96
4,COUNTY,CA,California,Humboldt County,"54,878","23,999",44%,$16.50,$16.94,"$1,207","$1,065","$1,132","$1,478","$2,071","$2,482","$80,100","$24,030","$40,050","$43,015",$601,"$1,001","$1,075",$858,$881,$362,"$42,600","$45,280","$59,120","$82,840","$99,280",$20.48,$21.77,$28.42,$39.83,$47.73,50,53,69,97,116,1.2,1.3,1.7,2.4,2.9,48,51,67,94,113
4,COUNTY,CA,California,Imperial County,"48,844","21,112",43%,$16.50,$15.16,"$1,207",$940,"$1,056","$1,371","$1,873","$2,287","$73,100","$21,930","$36,550","$40,139",$548,$914,"$1,003",$858,$788,$362,"$37,600","$42,240","$54,840","$74,920","$91,480",$18.08,$20.31,$26.37,$36.02,$43.98,44,49,64,87,107,1.1,1.2,1.6,2.2,2.7,48,54,70,95,116
