ORDER,GEO,ST,STNAME,COUNTY/METRO,Total Households (2019-2023),Renter Households (2019-2023),% of total households that are renters  (2019-2023),Minimum Wage,Estimated Mean Renter Wage ,SSI Monthly Payment,Zero bedroom FMR,One bedroom FMR,Two bedroom FMR,Three bedroom FMR,Four bedroom FMR,Annual AMI,30% of AMI,50% of AMI,Estimated Median Renter Household Income,Rent affordable at 30% AMI,Rent affordable at 50% AMI,Rent affordable at median renter household income ,Rent affordable with full-time job paying minimum wage ,Rent affordable with full-time job paying mean renter wage,Rent affordable to SSI recipient,Income needed to afford 0 bdrm FMR,Income needed to afford 1 bdrm FMR,Income needed to afford 2 bdrm FMR,Income needed to afford 3 bdrm FMR,Income needed to afford 4 bdrm FMR,Housing Wage for 0 bdrm FMR,Housing Wage for 1 bdrm FMR,Housing Wage for 2 bdrm FMR,Housing Wage for 3 bdrm FMR,Housing Wage for 4 bdrm FMR,Work hours per week at min. wage needed to afford 0 bdrm FMR,Work hours per week at min. wage needed to afford 1 bdrm FMR,Work hours per week at min. wage needed to afford 2 bdrm FMR,Work hours per week at min. wage needed to afford 3 bdrm FMR,Work hours per week at min. wage needed to afford 4 bdrm FMR,# of jobs at minimum wage needed to afford a 0 bdrm FMR,# of jobs at minimum wage needed to afford a 1 bdrm FMR,# of jobs at minimum wage needed to afford a 2 bdrm FMR,# of jobs at minimum wage needed to afford a 3 bdrm FMR,# of jobs at minimum wage needed to afford a 4 bdrm FMR,Work hours per week at mean renter wage needed to afford 0 bdrm FMR,Work hours per week at mean renter wage needed to afford 1 bdrm FMR,Work hours per week at mean renter wage needed to afford 2 bdrm FMR,Work hours per week at mean renter wage needed to afford 3 bdrm FMR,Work hours per week at mean renter wage needed to afford 4 bdrm FMR
3,METRO,WA,Washington,Seattle-Bellevue HMFA,"1,239,642","505,992",41%,$16.66,$39.68,"$1,003","$2,238","$2,293","$2,671","$3,521","$4,104","$157,100","$47,130","$78,550","$84,082","$1,178","$1,964","$2,102",$866,"$2,063",$301,"$89,520","$91,720","$106,840","$140,840","$164,160",$43.04,$44.10,$51.37,$67.71,$78.92,103,106,123,163,189,2.6,2.6,3.1,4.1,4.7,43,44,52,68,80
3,METRO,WA,Washington,Spokane HMFA,"215,879","77,953",36%,$16.66,$19.60,"$1,003",$998,"$1,123","$1,444","$1,997","$2,339","$100,800","$30,240","$50,400","$49,610",$756,"$1,260","$1,240",$866,"$1,019",$301,"$39,920","$44,920","$57,760","$79,880","$93,560",$19.19,$21.60,$27.77,$38.40,$44.98,46,52,67,92,108,1.2,1.3,1.7,2.3,2.7,39,44,57,78,92
3,METRO,WA,Washington,Stevens County HMFA,"18,983","3,948",21%,$16.66,$14.62,"$1,003",$821,$827,"$1,049","$1,470","$1,762","$88,400","$26,520","$44,200","$42,629",$663,"$1,105","$1,066",$866,$760,$301,"$32,840","$33,080","$41,960","$58,800","$70,480",$15.79,$15.90,$20.17,$28.27,$33.88,38,38,48,68,81,0.9,1.0,1.2,1.7,2.0,43,43,55,77,93
3,METRO,WA,Washington,Tacoma HMFA,"346,708","122,063",35%,$16.66,$21.72,"$1,003","$1,479","$1,673","$2,057","$2,882","$3,292","$120,800","$36,240","$60,400","$68,690",$906,"$1,510","$1,717",$866,"$1,129",$301,"$59,160","$66,920","$82,280","$115,280","$131,680",$28.44,$32.17,$39.56,$55.42,$63.31,68,77,95,133,152,1.7,1.9,2.4,3.3,3.8,52,59,73,102,117
3,METRO,WA,Washington,Walla Walla MSA,"23,390","7,966",34%,$16.66,$14.88,"$1,003","$1,020","$1,133","$1,487","$2,049","$2,497","$97,900","$29,370","$48,950","$44,324",$734,"$1,224","$1,108",$866,$774,$301,"$40,800","$45,320","$59,480","$81,960","$99,880",$19.62,$21.79,$28.60,$39.40,$48.02,47,52,69,95,115,1.2,1.3,1.7,2.4,2.9,53,59,77,106,129
3,METRO,WA,Washington,Wenatchee MSA,"46,533","16,266",35%,$16.66,$16.80,"$1,003","$1,020","$1,134","$1,488","$2,065","$2,444","$96,500","$28,950","$48,250","$56,441",$724,"$1,206","$1,411",$866,$874,$301,"$40,800","$45,360","$59,520","$82,600","$97,760",$19.62,$21.81,$28.62,$39.71,$47.00,47,52,69,95,113,1.2,1.3,1.7,2.4,2.8,47,52,68,95,112
3,METRO,WA,Washington,Yakima MSA,"86,689","32,577",38%,$16.66,$16.37,"$1,003","$1,011","$1,018","$1,335","$1,871","$1,971","$82,300","$24,690","$41,150","$49,145",$617,"$1,029","$1,229",$866,$851,$301,"$40,440","$40,720","$53,400","$74,840","$78,840",$19.44,$19.58,$25.67,$35.98,$37.90,47,47,62,86,91,1.2,1.2,1.5,2.2,2.3,48,48,63,88,93
4,COUNTY,WA,Washington,Adams County,"6,301","1,950",31%,$16.66,$17.02,"$1,003",$753,$821,"$1,077","$1,509","$1,809","$76,400","$22,920","$38,200","$47,660",$573,$955,"$1,191",$866,$885,$301,"$30,120","$32,840","$43,080","$60,360","$72,360",$14.48,$15.79,$20.71,$29.02,$34.79,35,38,50,70,84,0.9,0.9,1.2,1.7,2.1,34,37,49,68,82
4,COUNTY,WA,Washington,Asotin County,"9,438","2,492",26%,$16.66,$15.48,"$1,003",$915,$921,"$1,208","$1,693","$2,029","$87,100","$26,130","$43,550","$43,675",$653,"$1,089","$1,092",$866,$805,$301,"$36,600","$36,840","$48,320","$67,720","$81,160",$17.60,$17.71,$23.23,$32.56,$39.02,42,43,56,78,94,1.1,1.1,1.4,2.0,2.3,45,46,60,84,101
4,COUNTY,WA,Washington,Benton County,"76,696","24,163",32%,$16.66,$19.86,"$1,003","$1,101","$1,236","$1,503","$2,003","$2,318","$105,600","$31,680","$52,800","$55,239",$792,"$1,320","$1,381",$866,"$1,033",$301,"$44,040","$49,440","$60,120","$80,120","$92,720",$21.17,$23.77,$28.90,$38.52,$44.58,51,57,69,92,107,1.3,1.4,1.7,2.3,2.7,43,48,58,78,90
4,COUNTY,WA,Washington,Chelan County,"30,825","11,304",37%,$16.66,$16.99,"$1,003","$1,020","$1,134","$1,488","$2,065","$2,444","$96,500","$28,950","$48,250","$54,633",$724,"$1,206","$1,366",$866,$883,$301,"$40,800","$45,360","$59,520","$82,600","$97,760",$19.62,$21.81,$28.62,$39.71,$47.00,47,52,69,95,113,1.2,1.3,1.7,2.4,2.8,46,51,67,94,111
4,COUNTY,WA,Washington,Clallam County,"34,377","9,364",27%,$16.66,$13.51,"$1,003",$854,$949,"$1,245","$1,741","$1,986","$90,400","$27,120","$45,200","$41,950",$678,"$1,130","$1,049",$866,$703,$301,"$34,160","$37,960","$49,800","$69,640","$79,440",$16.42,$18.25,$23.94,$33.48,$38.19,39,44,57,80,92,1.0,1.1,1.4,2.0,2.3,49,54,71,99,113
4,COUNTY,WA,Washington,Clark County,"193,387","65,348",34%,$16.66,$23.46,"$1,003","$1,628","$1,750","$1,997","$2,739","$3,217","$124,100","$37,230","$62,050","$68,429",$931,"$1,551","$1,711",$866,"$1,220",$301,"$65,120","$70,000","$79,880","$109,560","$128,680",$31.31,$33.65,$38.40,$52.67,$61.87,75,81,92,126,149,1.9,2.0,2.3,3.2,3.7,53,57,65,90,105
4,COUNTY,WA,Washington,Columbia County,"1,892",419,22%,$16.66,$22.39,"$1,003",$724,$806,"$1,035","$1,450","$1,722","$109,800","$32,940","$54,900","$48,248",$824,"$1,373","$1,206",$866,"$1,165",$301,"$28,960","$32,240","$41,400","$58,000","$68,880",$13.92,$15.50,$19.90,$27.88,$33.12,33,37,48,67,80,0.8,0.9,1.2,1.7,2.0,25,28,36,50,59
4,COUNTY,WA,Washington,Cowlitz County,"43,409","14,693",34%,$16.66,$20.67,"$1,003",$963,"$1,186","$1,404","$1,967","$2,358","$85,500","$25,650","$42,750","$48,864",$641,"$1,069","$1,222",$866,"$1,075",$301,"$38,520","$47,440","$56,160","$78,680","$94,320",$18.52,$22.81,$27.00,$37.83,$45.35,44,55,65,91,109,1.1,1.4,1.6,2.3,2.7,36,44,52,73,88
